Date,Open,High,Low,Close,Volume
2024-01-01,10102.009435869508,10103.511507575886,10099.295101993617,10103.906960272176,380068
2024-01-02,10204.9203901644,10206.322240731724,10203.248408229127,10207.344353645953,273905
2024-01-03,10308.779492213249,10312.502483257987,10308.055959718324,10306.80681741721,419500
2024-01-04,10413.040724267446,10416.69484226375,10410.769702575742,10412.33159653843,189050
2024-01-05,10513.390412842418,10513.841105016343,10512.56333929047,10510.970296369936,211940
2024-01-06,10617.480305236597,10619.402288223617,10615.906790059227,10619.691586118046,457445
2024-01-07,10716.471902261808,10718.131069010788,10712.189240903346,10717.783815411045,395501
2024-01-08,10818.793309159719,10821.694884115852,10818.678048831975,10820.295209519032,121278
2024-01-09,10918.094208787468,10918.875203822146,10913.724428716674,10918.041442110463,307205
2024-01-10,11015.052318199007,11018.278230734337,11014.229587729413,11013.906782520047,152317
2024-01-11,11118.712034644726,11123.540468705696,11115.039140510993,11119.020196299633,337261
2024-01-12,11219.41351710788,11221.492788544094,11216.259140013433,11218.731850446238,429386
2024-01-13,11319.604201406393,11320.731177688142,11319.161682069833,11319.194578070234,198471
2024-01-14,11420.042242598034,11421.606188314525,11416.17014420531,11421.770282954785,219409
2024-01-15,11518.120712530585,11520.7372710887,11515.112354073233,11516.592955066479,235085
2024-01-16,11614.476022789016,11617.323090725478,11611.941207100277,11614.99207823486,393754
2024-01-17,11718.049068096929,11722.900817371752,11717.294018301514,11718.868883369189,175193
2024-01-18,11817.956073095735,11819.135479004119,11813.198549403567,11817.79399524452,187622
2024-01-19,11918.748696170416,11920.640377271024,11918.219583482776,11916.37746364522,209676
2024-01-20,12014.749650732683,12015.495831312068,12010.251317304845,12013.123588605844,395117
2024-01-21,12118.588539255614,12122.871151870957,12114.448116471574,12117.253041605343,103536
2024-01-22,12221.348888872055,12225.467661848548,12220.568013963462,12224.330670863366,357725
2024-01-23,12321.63201782122,12326.347600380268,12317.436158183047,12319.159633802788,451603
2024-01-24,12417.000862347757,12420.49381553742,12416.118757316197,12415.591772301646,325783
2024-01-25,12512.14752276694,12515.96688101576,12511.790827121311,12514.801401527468,432001
2024-01-26,12614.208028925425,12618.587128718642,12613.404146775774,12613.499842591715,232433
2024-01-27,12716.686516138161,12720.328470032435,12714.050759409078,12716.22926693,267563
2024-01-28,12813.929309743862,12815.316737808495,12811.19439391312,12811.84180277389,400947
2024-01-29,12918.594464061953,12919.408181883768,12915.662272149755,12919.592790481649,310069
2024-01-30,13021.565015567281,13024.311774972617,13020.563949914258,13022.856436051243,442983
2024-01-31,13116.875598261364,13121.233816961527,13113.7429292089,13118.087971900282,233653
2024-02-01,13216.185876493682,13218.307438695541,13211.980547774205,13215.354096232793,306170
2024-02-02,13312.455228074348,13316.314470337347,13311.858232315712,13310.680677047414,154648
2024-02-03,13417.202197004532,13418.609529202671,13416.617766584506,13415.44591735042,140540
2024-02-04,13514.2803737841,13519.21653236095,13509.82993360604,13516.11565222377,309384
2024-02-05,13612.658451789765,13616.242378736732,13612.357760917319,13614.176023515733,323053
2024-02-06,13716.563133940073,13717.501886912856,13715.673680190885,13714.572953916017,156379
2024-02-07,13821.311319176191,13822.036571909504,13816.627953755493,13821.931853074582,278919
2024-02-08,13917.201346117605,13920.963654417503,13913.315116378128,13919.076515120792,144036
2024-02-09,14016.760247049802,14016.850101636559,14015.805755428395,14015.208050351106,189879
2024-02-10,14121.279037483378,14124.630781352102,14117.054775657174,14121.39415088251,463033
2024-02-11,14217.619158850554,14219.228386403856,14214.10965963931,14214.760599494848,274323
2024-02-12,14317.803059426724,14320.088759215068,14316.162607441067,14317.185387129462,112211
2024-02-13,14415.585609707694,14417.8586207491,14414.465197718808,14413.994466107737,300122
2024-02-14,14515.327018666801,14516.675609947784,14512.660609985636,14516.496520992396,346655
2024-02-15,14611.43542761189,14612.738735745745,14608.74791607513,14609.469311221166,397711
2024-02-16,14707.454337939052,14708.954959320354,14704.051854756588,14706.97700012813,396514
2024-02-17,14806.609001765799,14806.773253752117,14806.057417675207,14806.734644953614,443045
2024-02-18,14909.488489771225,14910.601394944983,14904.509793777006,14908.678805387846,442004
2024-02-19,15008.209911199809,15011.81529871948,15004.492331484475,15005.679201331237,455259
2024-02-20,15108.853107724211,15110.808183411169,15105.400742045707,15106.48651412139,229123
2024-02-21,15206.150084861085,15208.420357587958,15203.50247385346,15205.510926807443,209030
2024-02-22,15304.797810744598,15306.770867302013,15304.286155314872,15303.296705036584,493941
2024-02-23,15401.551772945648,15404.16536400469,15396.641242580377,15399.902991721538,469743
2024-02-24,15502.46835616744,15507.245077660651,15499.605530260376,15501.258428621806,129179
2024-02-25,15601.62216978262,15603.80920422659,15597.150197231693,15600.42951958949,435418
2024-02-26,15703.868144744847,15708.672038562996,15702.912160904563,15704.946901261801,476528
2024-02-27,15799.288200494004,15803.327736947074,15795.411820870573,15800.522328173569,235081
2024-02-28,15896.132043027665,15898.362757100596,15891.398335992491,15893.75912538658,254667
2024-02-29,15993.99319786025,15995.212996923903,15989.715540105668,15991.721284765938,325715
2024-03-01,16098.875953855255,16099.40623388752,16095.504410314668,16100.49070160819,123892
2024-03-02,16198.181402823064,16200.83883702572,16194.8113157921,16197.80240590916,256116
2024-03-03,16299.531980962029,16300.318431362577,16295.759487466281,16297.067535786598,471352
2024-03-04,16402.893968750675,16403.33653299691,16401.273744219154,16403.809134650168,273028
2024-03-05,16499.291691682563,16499.72639454168,16498.69808521656,16497.30806128519,187947
2024-03-06,16600.86490953941,16603.249940463345,16597.615785138663,16602.08971918002,279422
2024-03-07,16701.7176078426,16704.376414011225,16697.822128613003,16704.209837438146,406999
2024-03-08,16803.797719817012,16806.38591169921,16800.383671770367,16805.355079305777,365875
2024-03-09,16904.073430968703,16908.33255621125,16899.90803919541,16903.860477465325,156924
2024-03-10,17003.69632162316,17003.70502152776,16998.75864666214,17005.056488926046,303139
2024-03-11,17107.629782132695,17110.63714928956,17104.820117896626,17107.303307844355,101033
2024-03-12,17212.166559630157,17214.75332093966,17211.16463376676,17211.64499696081,271441
2024-03-13,17309.247618144793,17312.861326427013,17308.39014931151,17309.301252122306,180471
2024-03-14,17410.053522512357,17411.487520426046,17406.65066175584,17407.78652852502,146902
