Date,Open,High,Low,Close,Volume
2023-01-01,300.0,300.9147,297.0735,300.9755,27687.08
2023-01-02,306.0569,307.6371,299.6481,302.7172,18802.62
2023-01-03,305.5421,307.6438,302.3274,304.3422,5646.98
2023-01-04,296.1937,301.3132,292.6261,295.1687,45863.51
2023-01-05,295.8254,303.8197,293.142,295.4494,45808.4
2023-01-06,306.7278,314.5367,303.8447,305.8939,20008.74
2023-01-07,323.2471,323.9138,321.3898,319.6455,24838.47
2023-01-08,313.5635,321.2471,304.6472,313.7822,26267.92
2023-01-09,324.618,326.2764,318.6876,327.1584,40767.24
2023-01-10,313.1601,320.5662,305.3641,309.3788,5728.4
2023-01-11,313.0151,313.0691,306.8871,315.9911,36605.79
2023-01-12,312.6883,313.0974,311.4163,311.6074,12826.56
2023-01-13,309.0792,311.1368,305.4891,312.1621,30543.56
2023-01-14,317.1671,320.144,312.3252,316.5549,32120.15
2023-01-15,313.6673,316.915,313.6215,318.2229,20748.47
2023-01-16,312.3592,319.2433,309.9838,308.3791,42343.04
2023-01-17,335.1132,338.3769,334.5489,336.5547,41757.11
2023-01-18,339.6595,343.5314,334.5533,338.0625,31958.19
2023-01-19,334.8533,335.8059,330.1468,331.2973,9180.39
2023-01-20,323.6235,325.5446,320.1704,326.6051,8433.13
2023-01-21,332.8253,334.0147,327.3607,332.1606,33377.48
2023-01-22,331.4363,336.915,329.4938,333.0291,18225.32
2023-01-23,343.9856,347.9595,343.6568,343.463,29395.17
2023-01-24,353.6812,361.3884,353.4603,356.9552,25241.72
2023-01-25,359.4724,361.8356,357.808,358.7537,42659.23
2023-01-26,355.1327,356.7144,350.9742,356.2024,47882.64
2023-01-27,352.2822,352.2988,352.1441,350.062,40103.04
2023-01-28,344.1681,348.795,340.4664,342.9937,31014.5
2023-01-29,351.0097,351.4866,349.3826,349.3672,21539.03
2023-01-30,348.5285,356.3847,345.846,344.2426,42503.58
2023-01-31,351.4633,354.3483,346.3182,348.5877,5829.06
2023-02-01,355.2128,366.1293,346.8255,359.1568,6189.49
2023-02-02,359.9149,367.5076,359.8235,362.9032,24516.38
2023-02-03,343.1352,347.1016,338.6175,343.5743,25825.58
2023-02-04,346.3064,352.2973,339.3224,342.6961,49552.56
2023-02-05,351.3636,363.1415,340.9322,355.8823,11197.15
2023-02-06,352.3765,353.7065,349.6922,348.5259,6054.59
2023-02-07,348.0397,350.2019,342.8504,345.9663,13334.69
2023-02-08,343.1501,345.6721,340.8682,344.1513,32203.07
2023-02-09,355.6605,355.6896,348.2379,360.6482,35232.91
2023-02-10,349.3083,355.1681,342.6255,346.036,20829.51
2023-02-11,355.7494,356.9528,355.2958,353.4051,46359.22
2023-02-12,355.5945,356.4134,346.5182,356.941,8036.17
2023-02-13,349.4754,358.5904,348.8118,353.1512,16404.35
2023-02-14,344.7075,351.041,341.1519,347.8712,44005.94
2023-02-15,343.8132,344.6891,342.171,343.4259,49206.97
2023-02-16,344.8318,347.5625,344.6477,347.8284,22533.95
2023-02-17,346.4329,347.0532,334.7925,340.9337,30719.56
2023-02-18,348.9051,351.4803,346.4819,350.3845,30719.49
2023-02-19,365.6651,367.3858,362.1732,368.4325,10541.93
2023-02-20,362.9483,367.9427,360.3644,362.3163,24269.91
2023-02-21,363.6323,368.2467,357.4123,362.0665,31942.99
2023-02-22,375.2591,376.1127,371.4703,381.0018,10685.56
2023-02-23,380.4673,387.369,374.6961,379.2177,47852.87
2023-02-24,375.2277,382.5551,373.7873,378.755,26836.56
2023-02-25,384.2895,386.2646,381.4331,384.9783,13216.07
2023-02-26,378.5338,384.4887,374.3443,378.1593,16815.7
2023-02-27,363.6903,367.996,360.86,364.6548,29174.71
2023-02-28,360.8302,364.4743,357.6369,363.1768,38156.96
2023-03-01,355.5588,367.2207,343.6772,353.4922,7898.02
2023-03-02,355.0023,366.3011,350.8003,354.8284,13380.24
2023-03-03,362.3941,372.9399,355.3042,357.5314,17498.22
2023-03-04,369.4919,373.6279,366.2682,373.3749,22927.32
2023-03-05,387.6534,388.0082,384.0362,390.2288,15381.43
2023-03-06,376.9424,384.6363,370.1664,378.7335,14815.1
2023-03-07,368.9582,370.9004,362.7723,366.0451,35401.21
2023-03-08,371.2018,373.9728,364.4956,368.5098,41049.13
2023-03-09,359.3937,361.5349,359.0868,360.4627,5052.36
2023-03-10,348.5074,350.8799,339.3518,350.0789,27522.98
2023-03-11,346.0967,347.1132,341.9453,342.4907,43928.12
2023-03-12,343.2162,354.2164,339.9139,340.8739,40158.36
2023-03-13,339.5532,343.3807,337.9831,337.9693,11644.9
2023-03-14,344.6714,349.13,342.6333,348.1591,27065.87
2023-03-15,355.9027,357.5505,349.5008,352.84,8232.73
2023-03-16,345.0983,348.9077,343.2319,346.5369,26053.82
2023-03-17,344.5371,348.19,339.6921,345.4183,37156.93
2023-03-18,352.9602,355.163,346.1886,354.2435,19329.11
2023-03-19,364.1083,370.0277,362.338,363.2639,20215.81
2023-03-20,379.87,383.047,372.4244,376.4699,44583.54
2023-03-21,386.6513,389.0135,380.8953,391.597,18009.81
2023-03-22,396.7996,398.7353,387.922,400.2206,6673.08
2023-03-23,385.4572,393.8585,378.8975,381.9024,5315.3
2023-03-24,394.8282,397.5265,389.2211,391.9254,32618.93
2023-03-25,396.8546,401.9727,394.7882,393.1022,35469.58
2023-03-26,410.9863,418.2567,407.9533,406.3024,25173.34
2023-03-27,413.1755,413.5089,405.5932,409.4862,48371.86
2023-03-28,413.2235,417.2832,403.868,415.954,23761.51
2023-03-29,429.7443,435.2199,425.2494,432.2944,10249.98
2023-03-30,415.3969,419.2857,405.4036,411.2856,41829.32
2023-03-31,425.5511,433.6735,424.3629,424.6509,28142.05
2023-04-01,427.0604,430.3042,420.9502,431.1531,30235.62
2023-04-02,419.4903,422.4331,410.9967,415.6352,6638.77
2023-04-03,430.2807,433.3714,420.8447,432.4119,34028.01
2023-04-04,428.9663,430.2731,425.509,433.3425,23938.15
2023-04-05,409.5874,419.4796,404.6199,412.2205,10030.99
2023-04-06,421.4219,422.7267,416.0368,421.9689,33227.53
2023-04-07,413.6847,415.6542,407.4502,415.7721,6442.79
2023-04-08,417.8422,420.3319,415.2942,420.012,44496.72
2023-04-09,399.5526,402.1716,391.9842,400.3704,42022.18
2023-04-10,388.8828,391.3888,378.8474,385.3315,26546.1
2023-04-11,378.2977,387.6054,375.7664,383.0132,29049.54
2023-04-12,388.5793,389.1941,384.2507,388.4641,16365.83
2023-04-13,389.7903,393.6138,382.3669,390.7846,7058.83
2023-04-14,391.7433,394.6478,390.2182,388.2238,13860.21
2023-04-15,398.6726,404.335,390.2611,399.4034,44615.59
2023-04-16,423.0244,431.431,413.0523,419.1193,32199.06
2023-04-17,427.7613,438.1838,426.8443,431.3095,14676.66
2023-04-18,402.0483,406.8462,397.4979,396.7967,32985.99
2023-04-19,402.2026,407.3426,400.7685,401.9819,36695.57
2023-04-20,400.2044,404.3528,395.5871,398.461,48745.72
2023-04-21,390.1575,395.8657,379.4382,391.1091,34704.81
2023-04-22,382.5574,384.6809,381.9403,380.3329,31262.82
2023-04-23,361.5317,365.5765,357.9465,363.479,49201.01
2023-04-24,355.6472,357.9807,346.5093,353.0611,22041.07
2023-04-25,350.6021,351.5539,347.8925,354.3979,42236.66
2023-04-26,357.2106,358.8294,346.6538,353.7011,28275.63
2023-04-27,358.5589,367.2559,352.4543,362.7234,8694.03
2023-04-28,366.2895,371.6439,365.9228,365.7636,9224.42
2023-04-29,367.6649,373.054,363.9918,367.281,21820.7
2023-04-30,388.1112,396.0618,387.0804,390.7259,32041.76
2023-05-01,385.5627,389.7706,384.1791,390.452,6502.28
2023-05-02,384.6765,386.6229,380.5281,390.0105,36013.0
2023-05-03,387.2946,395.8764,382.3402,384.0337,18264.58
2023-05-04,375.5661,380.1912,373.1503,373.7827,29347.57
2023-05-05,379.8235,384.9812,377.3609,377.6771,11664.26
2023-05-06,370.0246,380.1817,361.4685,370.0629,49652.72
2023-05-07,362.5796,370.0607,356.5191,361.8663,19647.84
2023-05-08,348.7976,353.2003,345.169,352.162,23835.35
2023-05-09,335.067,341.0438,333.3164,333.4957,26030.39
2023-05-10,343.2736,347.6207,340.0821,346.5637,30844.6
2023-05-11,347.5301,350.3847,345.4051,352.6207,47643.67
2023-05-12,337.3066,338.2184,332.6118,335.8111,44202.74
2023-05-13,338.5287,341.8399,333.4919,340.695,20923.81
2023-05-14,333.536,337.4522,330.7857,335.1719,9711.9
