Date,Open,High,Low,Close,Volume
2023-01-01,10.0,10.1834,9.7195,10.0051,32357.36
2023-01-02,10.2995,10.3699,9.9991,10.2994,15206.65
2023-01-03,10.564,10.7069,10.331,10.5108,24758.88
2023-01-04,10.0412,10.2405,9.9887,10.003,21463.95
2023-01-05,10.1533,10.2072,10.0905,10.0982,9303.61
2023-01-06,9.8635,10.054,9.6353,9.805,41334.58
2023-01-07,10.0415,10.2028,9.9966,9.925,18717.8
2023-01-08,10.1112,10.1344,9.9394,9.9961,41622.79
2023-01-09,10.5959,10.6793,10.529,10.5491,16193.89
2023-01-10,10.337,10.4943,10.1094,10.3387,22460.83
2023-01-11,10.3571,10.4943,10.2905,10.3829,27553.2
2023-01-12,10.3718,10.7119,10.2072,10.4214,9735.43
2023-01-13,9.9493,9.9985,9.8229,9.8572,17095.09
2023-01-14,9.8678,9.9976,9.5645,10.0121,43839.61
2023-01-15,10.4645,10.4814,10.4045,10.4629,14107.12
2023-01-16,10.5897,10.6107,10.4118,10.6151,42240.78
2023-01-17,10.2589,10.4421,10.0706,10.2443,33338.57
2023-01-18,10.3713,10.5387,10.2859,10.3565,36348.16
2023-01-19,10.431,10.5979,10.3004,10.2983,49341.65
2023-01-20,10.6629,10.7713,10.539,10.5837,29214.29
2023-01-21,10.9403,10.9668,10.9076,10.8174,17288.86
2023-01-22,10.8329,10.894,10.5849,10.9646,12739.19
2023-01-23,10.8363,11.1181,10.7241,10.6976,10764.5
2023-01-24,10.6516,10.6718,10.5218,10.6918,32389.14
2023-01-25,10.8397,10.8722,10.8089,10.9234,45709.73
2023-01-26,10.6542,10.8147,10.5386,10.7097,42917.4
2023-01-27,10.2197,10.2356,10.0552,10.1428,37445.63
2023-01-28,10.5703,10.6339,10.5,10.6068,23115.19
2023-01-29,10.8367,10.848,10.6568,11.0143,38139.91
2023-01-30,10.8143,11.0049,10.8119,10.7282,27629.98
2023-01-31,10.8833,10.9079,10.7486,10.9244,6923.48
2023-02-01,10.7469,10.8508,10.7343,10.724,18821.88
2023-02-02,10.4104,10.5197,10.4091,10.4116,46609.86
2023-02-03,10.5535,10.8988,10.2094,10.5402,46360.49
2023-02-04,10.6078,10.7753,10.5004,10.5583,45819.76
2023-02-05,10.4654,10.6703,10.2802,10.5748,28839.41
2023-02-06,10.6664,10.986,10.647,10.8158,37373.25
2023-02-07,11.0586,11.1837,10.9756,10.9939,29940.11
2023-02-08,11.0241,11.0743,10.8695,10.8779,15515.63
2023-02-09,11.14,11.2949,11.1045,11.0703,24513.01
2023-02-10,11.0215,11.1251,10.9246,10.9848,44691.52
2023-02-11,10.9382,11.0102,10.7949,11.0383,37087.71
2023-02-12,11.237,11.4574,11.001,11.2904,20480.23
2023-02-13,11.6485,11.6728,11.5964,11.7013,25708.59
2023-02-14,11.9735,12.1809,11.9154,11.7758,22597.8
2023-02-15,12.0327,12.2396,11.9372,12.0668,22642.24
2023-02-16,12.351,12.568,12.3207,12.2766,40924.63
2023-02-17,12.6063,12.7989,12.3112,12.7529,30324.84
2023-02-18,13.7943,14.0293,13.7483,13.8927,29520.78
2023-02-19,12.9594,13.0174,12.9415,12.9551,33203.9
2023-02-20,13.2094,13.2701,13.1148,13.2032,35874.34
2023-02-21,13.3399,13.4268,13.1627,13.301,17092.74
2023-02-22,13.1064,13.4058,12.7816,13.106,15124.99
2023-02-23,13.1359,13.2158,12.8348,13.1128,36798.4
2023-02-24,12.994,13.1185,12.8448,12.8934,9954.1
2023-02-25,12.8111,12.9354,12.5001,12.7159,49625.33
2023-02-26,12.3262,12.5338,12.3248,12.3127,19255.42
2023-02-27,12.5301,12.5929,12.4383,12.4799,14806.05
2023-02-28,12.8443,12.9061,12.6522,12.8358,9746.83
2023-03-01,12.5645,12.6103,12.3893,12.5475,21966.33
2023-03-02,12.4676,12.8262,12.115,12.3469,39903.2
2023-03-03,12.2065,12.313,12.1581,12.1148,24279.43
2023-03-04,12.4278,12.6231,12.0916,12.4178,18430.14
2023-03-05,12.1633,12.3593,11.9706,12.1693,48549.71
2023-03-06,12.0508,12.204,11.9876,11.9424,21480.23
2023-03-07,11.6264,11.8003,11.5164,11.4684,31622.0
2023-03-08,12.0854,12.1899,11.7662,12.146,42142.63
2023-03-09,11.9083,11.9127,11.8566,11.7499,22932.96
2023-03-10,11.815,11.8776,11.7011,11.7355,43694.64
2023-03-11,11.8579,12.0893,11.7093,11.9573,16549.47
2023-03-12,11.7403,11.8874,11.6699,11.7495,24106.3
2023-03-13,11.5244,11.6908,11.4426,11.5124,48913.41
2023-03-14,11.3254,11.454,11.3138,11.4329,41086.85
2023-03-15,11.2902,11.5884,11.2773,11.1785,18510.64
2023-03-16,11.7287,11.9456,11.6529,11.787,31681.25
2023-03-17,11.7152,11.7579,11.441,11.6254,39257.88
2023-03-18,11.8588,11.9539,11.7779,11.8045,5240.48
2023-03-19,11.5867,11.6668,11.576,11.562,44112.26
2023-03-20,11.6847,11.908,11.5926,11.6958,19997.88
2023-03-21,12.1162,12.46,11.8506,11.9825,37765.7
2023-03-22,11.957,12.0785,11.8802,11.8723,28656.03
2023-03-23,11.944,12.0882,11.7337,11.9147,33947.01
2023-03-24,11.7669,12.018,11.5527,11.6312,8574.1
2023-03-25,11.7249,11.8898,11.7165,11.8179,30239.49
2023-03-26,11.9889,12.2698,11.8933,12.1586,46826.64
2023-03-27,12.1882,12.4376,12.1209,12.0586,16872.91
2023-03-28,11.9211,12.131,11.6691,11.9046,7624.22
2023-03-29,11.9577,11.9833,11.722,11.911,25589.79
2023-03-30,12.116,12.265,11.9131,12.083,12593.85
2023-03-31,12.2901,12.6008,12.1325,12.3994,38421.68
2023-04-01,12.3934,12.6967,12.0085,12.3905,11656.93
2023-04-02,12.0397,12.1216,11.9153,11.9975,5687.41
2023-04-03,12.1074,12.1122,11.9153,12.0696,24818.69
2023-04-04,12.0501,12.1101,11.7048,11.9293,43480.29
2023-04-05,12.2607,12.3905,11.977,12.2442,14069.99
2023-04-06,11.733,11.9262,11.573,11.6797,15250.38
2023-04-07,11.9552,12.0593,11.8856,11.8633,8138.62
2023-04-08,11.7869,11.8214,11.7591,11.7123,5417.81
2023-04-09,11.5133,11.5553,11.4323,11.5289,23840.97
2023-04-10,10.8397,10.9046,10.6853,10.8279,35582.68
2023-04-11,10.9498,11.0429,10.7445,10.8608,12791.93
2023-04-12,11.1746,11.2038,10.9571,11.2268,21355.13
2023-04-13,11.2731,11.5053,11.2123,11.3598,47653.42
2023-04-14,11.651,11.7501,11.6417,11.7111,28620.64
2023-04-15,11.9423,12.0214,11.6532,11.9813,26286.9
2023-04-16,11.8829,12.268,11.7577,11.9419,32556.83
2023-04-17,11.8523,11.9409,11.7609,11.7877,31631.33
2023-04-18,12.0812,12.358,11.9593,11.9774,10558.48
2023-04-19,12.0863,12.464,11.9805,12.0391,26959.79
2023-04-20,11.9016,12.1968,11.5419,12.0647,34577.42
2023-04-21,12.3501,12.3694,12.094,12.3621,13398.93
2023-04-22,12.1934,12.2955,12.0168,12.0943,41321.12
2023-04-23,12.0265,12.2119,12.0256,12.0854,22566.07
2023-04-24,12.1879,12.2272,12.0105,12.0957,43464.52
2023-04-25,12.5142,12.7224,12.3336,12.5543,34458.06
2023-04-26,12.6962,12.7068,12.5655,12.5425,26053.26
2023-04-27,12.6392,12.899,12.4996,12.5274,19596.5
2023-04-28,12.844,12.8877,12.8348,12.7972,6415.0
2023-04-29,12.2174,12.4361,12.0334,12.1283,48263.86
2023-04-30,12.4805,12.6682,12.368,12.4091,48269.95
2023-05-01,12.8212,12.9636,12.8057,12.9208,19387.54
2023-05-02,12.4528,12.7439,12.1673,12.5076,39535.53
2023-05-03,12.1069,12.207,11.9356,12.0697,33253.5
2023-05-04,12.7202,13.0338,12.495,12.9233,18475.6
2023-05-05,12.2797,12.5229,12.0808,12.3768,30942.55
2023-05-06,11.7065,11.7322,11.6485,11.6922,41613.46
2023-05-07,11.9913,12.0357,11.8968,11.978,35175.45
2023-05-08,12.214,12.2196,12.1162,12.1629,46946.99
2023-05-09,12.445,12.6911,12.1314,12.5998,34799.63
2023-05-10,12.8387,12.9991,12.7846,12.7256,12481.72
2023-05-11,12.6625,12.8099,12.6337,12.5725,10647.23
2023-05-12,12.4932,12.6989,12.3536,12.5066,12170.54
2023-05-13,12.9548,13.0096,12.8142,12.84,22877.03
2023-05-14,12.6537,12.87,12.5709,12.482,46223.1
2023-05-15,13.1929,13.2522,12.9314,13.1031,5486.84
2023-05-16,12.753,12.841,12.6033,12.7941,33188.5
2023-05-17,12.5853,12.9425,12.4963,12.4521,7449.78
2023-05-18,12.2503,12.4423,11.9599,12.2764,25293.03
2023-05-19,12.2997,12.4072,12.2677,12.2713,23673.31
2023-05-20,12.4887,12.7653,12.2982,12.4195,38030.52
2023-05-21,11.9405,11.9623,11.6924,11.8865,21366.23
2023-05-22,12.0258,12.0653,11.8445,11.9846,29305.9
2023-05-23,12.1258,12.203,12.1138,12.1359,46220.38
2023-05-24,11.7043,11.8474,11.5208,11.6498,36836.73
2023-05-25,11.6836,11.9762,11.4639,11.804,33909.15
2023-05-26,11.7695,11.9581,11.7435,11.8733,39428.84
2023-05-27,11.4501,11.5259,11.245,11.3374,28691.86
2023-05-28,11.0226,11.2933,10.7975,10.8406,45792.41
2023-05-29,11.6089,11.7336,11.3907,11.596,31378.91
2023-05-30,11.7748,11.9015,11.4523,11.702,41671.99
2023-05-31,11.557,11.5621,11.4611,11.6235,28898.94
2023-06-01,11.805,12.1778,11.5579,11.9822,39348.59
2023-06-02,11.6842,11.6936,11.5332,11.7862,33207.3
2023-06-03,11.6976,11.8249,11.6311,11.7556,15311.95
