timestamp,open,high,low,close,volume
2025-04-03,3.965,4.111,3.845,4.059,5063977.24
2025-04-04,4.06,4.131,3.946,4.035,4789003.5
2025-04-05,4.034,4.069,3.897,3.956,2096452.45
2025-04-06,3.955,3.976,3.601,3.683,6022544.15
2025-04-07,3.685,3.735,3.282,3.593,15127726.43
2025-04-08,3.592,3.706,3.342,3.378,5407861.13
2025-04-09,3.377,3.753,3.25,3.643,11027926.38
2025-04-10,3.643,3.65,3.389,3.463,7342100.4
2025-04-11,3.462,3.599,3.45,3.557,5169131.93
2025-04-12,3.558,3.756,3.525,3.713,4420760.89
2025-04-13,3.713,3.816,3.615,3.668,6619352.13
2025-04-14,3.669,3.798,3.633,3.677,5218014.54
2025-04-15,3.676,3.735,3.516,3.519,4692519.65
2025-04-16,3.519,3.619,3.469,3.557,4278941.46
2025-04-17,3.557,3.698,3.54,3.634,3658951.76
2025-04-18,3.636,3.748,3.613,3.675,2261720.31
2025-04-19,3.675,3.892,3.645,3.88,2997616.3
2025-04-20,3.88,3.952,3.787,3.878,3877366.27
2025-04-21,3.879,3.982,3.771,3.78,4698554.41
2025-04-22,3.78,4.04,3.689,4.007,7580714.41
2025-04-23,4.008,4.198,3.999,4.093,7854197.12
2025-04-24,4.093,4.286,3.929,4.269,6601559.83
2025-04-25,4.268,4.374,4.215,4.254,6676283.69
2025-04-26,4.254,4.362,4.201,4.263,4527685.25
2025-04-27,4.264,4.291,4.056,4.09,5800570.8
2025-04-28,4.09,4.267,4.009,4.242,5819426.05
2025-04-29,4.242,4.33,4.101,4.147,3884592.85
2025-04-30,4.146,4.175,4.026,4.065,4199576.05
2025-05-01,4.066,4.224,4.064,4.177,3925860.31
2025-05-02,4.177,4.287,4.126,4.161,3231292.82
2025-05-03,4.161,4.172,4.012,4.028,2386438.85
2025-05-04,4.028,4.051,3.894,3.92,4232639.09
2025-05-05,3.919,4.022,3.884,3.918,3957728.74
2025-05-06,3.918,3.977,3.823,3.971,4277490.05
2025-05-07,3.972,4.007,3.88,3.969,2714666.36
2025-05-08,3.968,4.494,3.966,4.456,8866998.35
2025-05-09,4.455,4.863,4.434,4.799,11614442.99
2025-05-10,4.799,5.323,4.797,5.309,11854751.74
2025-05-11,5.309,5.362,4.954,5.097,8101384.06
2025-05-12,5.097,5.4,4.89,5.068,9921543.44
2025-05-13,5.069,5.273,4.823,5.195,6748215.11
2025-05-14,5.194,5.267,4.947,4.98,5284499.6
2025-05-15,4.981,5.028,4.679,4.779,7496534.85
2025-05-16,4.778,4.956,4.711,4.755,4420510.08
2025-05-17,4.755,4.768,4.557,4.612,3799964.46
2025-05-18,4.613,4.921,4.508,4.793,4741500.76
2025-05-19,4.794,4.821,4.412,4.596,5563926.25
2025-05-20,4.597,4.727,4.519,4.677,4133769.06
2025-05-21,4.677,4.877,4.612,4.74,6374820.22
2025-05-22,4.741,4.977,4.732,4.948,4934402.45
2025-05-23,4.948,5.12,4.531,4.561,10214231.78
2025-05-24,4.562,4.633,4.511,4.545,3091142.26
2025-05-25,4.546,4.564,4.35,4.523,3942315.1
2025-05-26,4.523,4.617,4.426,4.468,3794527.16
2025-05-27,4.468,4.614,4.373,4.535,3874357.43
2025-05-28,4.536,4.661,4.419,4.587,4289732.2
2025-05-29,4.588,4.682,4.33,4.332,4814923.2
2025-05-30,4.333,4.358,4.008,4.049,8486843.25
2025-05-31,4.049,4.121,3.895,4.076,5429234.96
2025-06-01,4.077,4.102,3.971,4.066,2555495.93
2025-06-02,4.066,4.171,3.952,4.148,3601436.52
2025-06-03,4.149,4.223,4.097,4.137,3668892.34
2025-06-04,4.137,4.214,3.985,4.006,5036516.92
2025-06-05,4.006,4.078,3.742,3.814,6640572.84
2025-06-06,3.814,3.992,3.802,3.884,3530206.93
2025-06-07,3.886,4.058,3.868,4.031,2274474.36
2025-06-08,4.031,4.112,3.977,4.025,2726928.43
2025-06-09,4.026,4.162,3.963,4.151,4628656.78
2025-06-10,4.152,4.317,4.097,4.294,6662210.27
2025-06-11,4.295,4.346,4.146,4.189,5328497.22
2025-06-12,4.188,4.204,3.907,3.919,5999705.47
2025-06-13,3.919,3.919,3.664,3.838,9117736.81
2025-06-14,3.838,3.846,3.716,3.781,2930108.58
2025-06-15,3.782,3.834,3.735,3.821,1774308.52
2025-06-16,3.821,3.991,3.786,3.847,4011866.39
2025-06-17,3.846,3.897,3.663,3.719,5144535.08
2025-06-18,3.719,3.786,3.572,3.622,6307506.25
2025-06-19,3.622,3.657,3.496,3.548,6333647.02
2025-06-20,3.547,3.577,3.33,3.437,7730014.2
2025-06-21,3.437,3.508,3.209,3.324,5927367.37
2025-06-22,3.325,3.363,3.007,3.153,11019675.81
2025-06-23,3.153,3.421,3.111,3.416,8879579.75
2025-06-24,3.416,3.525,3.385,3.439,4687786.75
2025-06-25,3.438,3.465,3.341,3.352,3894305.42
2025-06-26,3.352,3.433,3.271,3.299,3980149.78
2025-06-27,3.299,3.394,3.274,3.359,3955846.51
2025-06-28,3.36,3.426,3.33,3.407,1866680.64
2025-06-29,3.408,3.582,3.379,3.541,2800833.68
2025-06-30,3.542,3.56,3.352,3.397,3677669.93
2025-07-01,3.397,3.42,3.326,3.336,825599.16
